sent_id,generator,evaluator,English_Sentence,Translation,score
19,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Less than 14% of the respondents see the EU as the leading champion of the global free trade agenda, down from almost 22% in last year's survey.","Weniger als 14% der Befragten sehen die EU als den führenden Förderer der weltweiten Freizügeagenda, was im vergangenen Jahr um fast 22% abgenommen ist.",4
20,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"The survey also showed there is now less confidence that the EU would ""do the right thing"" to contribute to global peace, security, prosperity and governance.","In der Umfrage zeigte sich auch ein geringerer Vertrauen, dass die EU das Richtige tun würde, um zur globalen Frieden, Sicherheit, Wohlfahrt und Regierung zu beitragen.",4
21,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Of those who had little or no trust in the EU to ""do the right thing,"" almost a third said it was because they thought Brussels was ""distracted with its internal affairs and thus cannot focus on global concerns and issues.""","Von denen, die wenig oder keine Zuversicht in die EU hatten, um ""die richtige Sache zu machen"", sagte fast ein Drittel, dass sie der Meinung waren, Brüssel sei ""mit seinen inneren Angelegenheiten beschäftigt und kann sich daher nicht auf globale Probleme und Fragen konzentrieren""",4
22,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"""The findings of the State of Southeast Asia 2024 survey underline that the European Union needs to increase its cooperation efforts with Southeast Asia substantially,"" said David McAllister, chair of the European Parliament's Foreign Affairs Committee.","Die Ergebnisse des Southeast Asia 2024-Umfrages zeigen, dass die Europäische Union ihre Kollaborationsbemühungen mit Südostas signifikant erhöhen muss, sagte David McAllister, Vorsitzender des Europaparlamentsausschusses für Auswärtige Angelegenheiten.",3
23,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Indeed, the same State of Southeast Asia survey found that Southeast Asians ranked the Gaza conflict as the most important geopolitical issue, beating the region's own concerns, such as tensions in the South China Sea and a civil war raging in Myanmar.","Tatsächlich zeigte eine Umfrage zu dem Südostasiatischen Staat eine Rangierung des Gazakonflikts als das wichtigste geopolitische Problem, was die Regions eigenen Sorgen wie Spannungen im Südchinesischen Meer und einen Bürgerkrieg in Myanmar übertrumpte.",4.5
24,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Even before the war in Gaza escalated, the EU had been locked in a spat with Malaysia and Indonesia, the world's two largest palm oil producers, over Brussels' deforestation legislation.","Schon vor dem Ausbruch des Krieges in Gaza war die EU mit Malaysia und Indonesien, den beiden größten Palmölproduzenten der Welt, in einem Streit über die Brüsseler Abordnung zur Waldabholzung verwickelt.",4.5
25,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,The EU plans to ban the import of goods that can be traced to deforestation.,"Die EU plant, den Import von Waren zu verbieten, die auf Deforestation zurückführbar sind.",4
26,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Several Southeast Asian states say this unfairly impacts their agricultural sectors and doesn't recognize the climate efforts they are making.,"Mehrere Südostasiatische Staaten sagen, dass dies ungerecht ihre landwirtschaftlichen Sektoren betrifft und ihre Klimaanstrengungen nicht erkennt.",4
27,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"World Trade Organization (WTO) also agreed with some of Malaysia's complaints about the way the EU had prepared, published and administered its deforestation regulations.","Die Welthandelsorganisation (WTO) einigte sich auch mit einigen der Beschwerde Malasias über die Art und Weise, wie die EU ihre Abholungsvorschriften vorbereitet, veröffentlicht und verwaltet.",4
28,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"He told DW that the poll, for instance, found that the EU is ASEAN's fourth most important dialogue partner, after China, the US and Japan, and that it maintained its leading position as ASEAN's preferred strategic partner in hedging against US-China rivalry.","Er erzählte DW, dass die Umfrage beispielsweise zeigte, dass die EU der vierte wichtigste Dialogpartner Asiens nach China, den USA und Japan ist, und dass sie ihre führende Position als bevorzugter strategischer Partner von ASEAN bei der Abwehr von US-China-Konfrontationen beibehalten hat.",4
29,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"""While this year the EU's position overall has weakened slightly, the overall assessment of the EU's role remains strong and positive,"" Stano said.","Während dieses Jahres ist die allgemeine Position der EU leicht geschwächt, bleibt die allgemeine Bewertung ihrer Rolle stark und positiv.",4
30,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Stano also advised caution over reading too much into the survey, noting that the composition of its respondents by geographic location and sector changes every year.","Stano war auch auf die Gefahr hinweisend, dass man zu viel in die Umfrage einsetzt, da die Zusammensetzung ihrer Befragten nach geographischem Ort und Sektor von jedem Jahr variiert.",4.5
31,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"""It's surprising how the EU's contributions and active engagement with the region are not properly reflected in the survey,"" he said, adding that perhaps the pollsters ""could have framed the questionnaire more carefully.""","Es ist überraschend, wie die Beiträge der EU und ihre aktive Beteiligung in der Region nicht korrekt in der Umfrage wiedergegeben werden. Man könnte argumentieren, dass die Umfragefrageformulierung präziser sein könnte.",4
32,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"For the most part, the survey results indicate that there is still hard work left to do for the EU to convince Southeast Asians of its long-term interests in the region.","Meistens zeigen die Umfrageergebnisse, dass für die EU noch viel Arbeit zu machen ist, um Südostasiaten von ihren langfristigen Interessen in der Region zu überzeugen.",4
33,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"""It is all about rolling up our sleeves, sitting down with our friends in Thailand, the Philippines and Indonesia, and crafting deals that are fair, that help everyone grow and feel secure in their future,"" he told DW.","Es geht um das Aufrollen der Ärmel, zu sich mit Freunden in Thailand, den Philippinen und Indonesien zu sitzen und fair, die alle wachsen und in ihrer Zukunft eine Sicherheit versprechen, Deals zu treffen.",4
34,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"On Tuesday, the Olympic flame was lit in the ancient ruins of the Temple of Hera in Olympia in southwestern Greece.",Am Dienstag wurde das Olympische Feuer in den antiken Ruinen des Tempels von Hera in Olympia in Südwestgriechen entzündet.,4
35,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"It will now make its way to Paris, where the Summer Olympic Games are due to open on July 26.","Es wird jetzt nach Paris gehen, wo die Sommersaulnspiele am 26. Juli eröffnet werden.",4
36,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Until the closing ceremony on August 11, 10,500 athletes from 206 countries will compete at Paris 2024 in 32 disciplines.",Bis zur Abschlusszeremonie am 11. August werden 10.500 Athleten aus 206 Ländern in 32 Disziplinen in Paris 2024 antreten.,4
37,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,The French government has said that security will be the top priority during the event.,"Das französische Regierung hat bekannt gegeben, dass Sicherheit die höchste Priorisierung während des Ereignisses sein wird.",4
38,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"In addition, more than 2,000 foreign police officers, including from Germany, will be helping to keep guard.","Darüber hinaus werden mehr als 2.000 ausländische Polizeibeamte, darunter auch aus Deutschland, zur Sicherheit beitragen.",4
39,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,France increased its security alert to its highest level after an attack by Islamist terrorists in Moscow at the end of March left more than 140 people dead.,"Frankreich erhöhte seinen Sicherheitsalarm auf das höchste Niveau nach einem Terroranschlag islamistischer Terroristen in Moskau am Ende März, bei dem mehr als 140 Menschen starben.",4
40,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Providing security for the opening ceremony alone will be a huge logistical challenge: 160 boats carrying athletes are due to sail six kilometers (3.78 miles) along the Seine River.,"Die Sicherheit für die Eröffnungszeremonie allein ist eine große logistische Herausforderung: 160 Boote mit Athleten sind für eine Reise von sechs Kilometern (3,78 Meilen) auf der Seine geplant.",4
41,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,But he has also admitted that there are back-up plans in place should the security threat become too acute.,"Doch er hat auch zugestanden, dass es Rückpläne gibt, falls die Sicherheitsbedrohung zu akut wird.",4
42,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Russia's war of aggression in Ukraine and concerns about a further escalation of the situation in the Middle East have exacerbated fears of a security threat.,Russlands Aggression in Ukraine und Bedenken einer weiteren Eskalation der Situation im Nahen Osten haben die Angst einer Sicherheitsbedrohung verschärft.,4
43,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Despite this, eight of the 10 million available tickets for the 2024 Summer Olympics have already been sold and some 15 million spectators are expected.",Trotz hierven sind bereits acht der 10 Millionen verfügbaren Eintrittskarten für die Sommerolympiade 2024 verkauft und es werden rund 15 Millionen Zuschauer erwartet.,4
44,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Last autumn, Clement Beaune, who was France's transport minister at the time, described the plans to organize traffic as ""hardcore.""","Zu Letzt im Herbst beschrieb Clement Beaune, der zu dieser Zeit Frankreichs Verkehrsminister war, die Pläne zur Organisation des Verkehrs als ""hartcore"".",4
45,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,The German Football League (DFL) has suspended its bidding process for the sale of the Bundesliga's domestic broadcast rights following a complaint from a bidder of unfair treatment.,Die Deutsche Fußballliga (DFL) hat den Bewerbprozess für den Verkauf der Bundesliga-Heimfernsehrechte nach einem Beschwerde eines Bieters wegen unfairen Behandlungs eingestellt.,4.5
46,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,It's been an historic week for German football on the pitch as Bayer Leverkusen won the Bundesliga for the first time and both Borussia Dortmund and Bayern Munich progressed to the semifinals of the Champions League.,"Es war eine historische Woche für den deutschen Fußball auf dem Platz, da Bayer Leverkusen die Bundesliga zum ersten Mal gewinnen und sowohl Borussia Dortmund als auch Bayern München in das Halbfinale der Champions League vorgestoßen sind.",4.5
47,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"But it's also a big week off the pitch as the German Football League (DFL), which operates the Bundesliga, opens the bidding for the sale of its domestic broadcast rights for the seasons 2025/26 to 2028/29.","Aber es ist auch eine große Woche abseits des Spielfeldes, da die Deutsche Fußball-Liga (DFL), die die Bundesliga betreibt, die Ausschreibung des Verkaufs ihrerdomesticen Fernsehrechte für die Spielzeiten 2025/26 bis 2028/29 aufmacht.",4
48,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,The billion-euro negotiations take place every four years and are a vital process since they concern German football clubs' most important revenue stream.,"Die Milliarden-Euro-Verhandlungen finden alle vier Jahre statt und sind ein wichtiger Prozess, da sie den bedeutendsten Erlössestrom der deutschen Fußballklubs betreffen.",4.5
49,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"However, the DFL confirmed on Wednesday evening that it had taken the unprecedented step of suspending the auction after just three days following a legal complaint from one of the bidders, current rights holder DAZN.","Doch am Mittwochabend bestätigte der DFL, dass er das unprecedentierte Schritt der Versteigerung nach nur drei Tagen nach einem rechtlichen Widerspruch eines der Mitbieter, des aktuellen Rechtehalters DAZN, aufgenommen hatte.",4
50,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"According to German media reports, the online streaming service has complained of unfair treatment by the DFL, accusing the league of ""abusing its dominant position in the football broadcast rights market"" and ""contravening German and European competition law.""","Gemäß den deutschen Medienberichten hat der Streamingdienst Beschwerde wegen unfairen Behandlung durch die DFL eingelegt, und beschuldigt die Liga der ""Missbrauung ihrer marktposition im Fußball-Übertragungsmarkt"" und des ""Verstoßes gegen deutsche und europäische Wettbewerbsgesetze"".",4
51,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,We are led to believe that our financial offer lay substantially above every other offer.,"Es wird vermutet, dass unser finanzielles Angebot deutlich höher war als alle anderen Angebote.",4
52,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Rights package B is the largest package on sale, according the winning bidder the rights to exclusively broadcast 196 live games per season, including the five 3:30 p.m. kickoffs every Saturday, the weekly Friday night fixtures and the end-of-season relegation/promotion play-offs.","Das Rechtpaket B ist das größte Pakett, das zum Verkauf angeboten wird, nach dem Gewinnenden Bieter die Rechte zur ausschließlichen Übertragung von 196 Live-Spielen pro Saison, einschließlich der fünf 3:30-Uhr-Startzeiten am Samstag, den wöchentlichen Freitagabendpartien und den Saisonende-Relegation/Promote-Playoffs.",4.5
53,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"DAZN, which in the current broadcast deal has the rights to the Friday and Sunday fixtures, making it the DFL's second-biggest broadcast partner, says it had bid for the package against pay TV broadcaster Sky, the premier partner which currently holds the rights to all Saturday matches.","In der aktuellen Vertragsparte hat DAZN die Rechte an den Freitag- und Sonntagsspielen, was es zum zweitgrößten Rundfunkpartner der DFL macht, berichtet, dass es für das Pakett gegen den Pay-TV-Sender Sky, den Premierenpartner, der derzeit die Rechte an allen Samstagspielen hält, mitgeboten hat.",4
54,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,The DFL confirmed the reports to the German SID sports news agency on Wednesday night but strongly rejected the accusations.,"Die DFL bestätigte die Meldungen an die deutsche SID-Sportnachrichtenagentur am Mittwochabend, bestätigte aber furchtlos die Vorwürfe ab.",4
55,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"""The insinuations and accusations raised are incorrect and unfounded and we reject them in the strongest possible terms,"" it said in a statement, claiming that the DAZN letter of complaint contains ""numerous incorrect portrayals and misrepresentation of facts.""","Die aufgestellten Annahmen und Vorwürfe sind unkorrekt und haben keine Grundlage, und wir stoßen sie mit den stärksten Worten ab. In einer Erklärung wurde bekannt gegeben, dass das Schreiben der DAZN-Beschwerde zahlreiche unzureichende Darstellung und Fehlinterpretationen von Fakten enthält.",4.5
56,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"It insisted that it is conducting the auction process in adherence to all relevant rules and regulations and ""in a transparent and non-discriminatory manner,"" but that chief executives Marc Lenz and Steffen Merkel had decided to temporarily halt the auction ""in order to protect the legal security of the process.""","Es bestand darauf, dass der Versteigerungsprozess den anwendlichen Regeln und Vorschriften und ""transparenzvoll und nicht diskriminierend"" durchgeführt werde, aber dass die Chefs executive Marc Lenz und Steffen Merkel den Versteigerungsprozess vorübergehend aussetzen hatten, um die rechtliche Sicherheit des Prozesses zu schützen.",4.5
57,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"The legal dispute comes at a highly inopportune time for the DFL, whose current domestic broadcast deals with Sky and DAZN run out at the end of this season in June.","In dieser Zeit der rechtlichen Auseinandersetzung ist für den DFL eine ungünstige Zeit, da seine aktuellen Heimspiele im Juni mit Sky und DAZN auslaufen.",4
58,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"The current deals are worth around 1.1 billion ($1.17 billion), a sum which is divided up among Bundesliga clubs according to a points-based formula.","Die aktuellen Angebote sind rund 1,1 Milliarden  (1,17 Milliarden $) wert, die auf die Bundesligaklubs nach einem Punktesystem verteilt werden.",4
59,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,But it now faces the prospect of weeks or months of potential legal wrangling.,Aber es steht jetzt der Gefahr von Wochen oder Monaten potentieller rechtlicher Streitigkeiten gegenüber.,4
60,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Researchers in Germany estimate that climate change will shrink global GDP at least 20% by 2050.,"Die Wissenschaftler in Deutschland schätzen, dass sich der Klimawandel bis 2050 um mindestens 20% auf den globalen BIP auswirken wird.",4.5
61,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,A study by the Potsdam Institute for Climate Impact Research (PIK) published in the scientific journal Nature on Wednesday claimed that climate change is poised to wipe out some 20% of global GDP by 2050.,"Eine Studie des Potsdamer Instituts für Klimaimpulsforschung (PIK), die in der wissenschaftlichen Fachzeitschrift Nature am Mittwoch veröffentlicht wurde, besagt, dass die Klimawandel bis 2050 etwa 20% des weltweiten GDP auslöschen wird.",4.5
62,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Researchers at PIK said their calculations were based on the prospect of countries such as Germany achieving their emissions-cutting goals.,"Die Wissenschaftler des PIK sagten, ihre Berechnungen basierten auf der Möglichkeit, dass Länder wie Deutschland ihre Emissionenreduktionsziele erreichen.",4
63,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Currently, most countries look unlikely to achieve these targets, meaning the financial impact could be greater still than the drastic damage projected.","In derzeit sind die meisten Länder kaum in der Lage, diese Ziele zu erreichen, was bedeutet, dass der finanzielle Einfluss noch größer sein könnte als die drastischen Schäden, die geschätzt werden.",4
64,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"According to the study's calculations, the economic burden of climate change could reach $38 trillion (35.6 trillion) annually, a sum six times higher than the estimated cost of limiting global temperatures to 2 degrees Celsius above pre-industrial levels.","Nach den Berechnungen der Studie beträgt die ökonomische Belastung des Klimawandels jährlich 38 Billionen US-Dollar (2.863 Billionen Euro), eine Summe, die sechsmal so hoch ist wie die geschätzte Kosten der Begrenzung der globalen Temperaturen um 2 Grad Celsius über dem vorindustriellen Niveau.",4.5
65,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"The study points out that despite damage affecting different regions to different degrees, poorer regions and those contributing least to global warming will be hit hardest.","Trotz Schäden, die verschiedene Regionen zu verschiedenen Graden beeinflussen, werden die armutvolleren Regionen und diejenigen, die am wenigsten zum Klimawandel beitragen, am stärksten getroffen.",4
66,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"""Countries least responsible for climate change are predicted to suffer income loss that is 60% greater than the higher-income countries and 40% greater than higher-emission countries,"" said Anders Levermann, a senior PIK scientist.","Die Länder, die am wenigsten für den Klimawandel verantwortlich sind, werden zu einem Einkommenseinbruch führen, der 60% größer ist als in den höheren Einkommensländern und 40% größer als in den höheren Emissionsländern ist, sagte Anders Levermann, Wissenschaftler auf dem PIK-Institut.",4
67,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"These losses are caused by a wide range of economically relevant effects of climate change, such as consequences for agricultural yields, labor productivity and infrastructure.","Diese Verluste sind auf eine Vielzahl von ökonomisch relevanten Effekten des Klimawandels zurückzuführen, wie z. B. Konsequenzen für Ernteerträge, Arbeitsproduktivität und Infrastruktur.",4.5
68,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Others pointed out that the new study appears to confirm conclusions similar to those in the so-called Stern Report, which was produced by economist Nicholas Stern in 2006 at the behest of the UK government.","Andere haben hervorgehoben, dass die neue Studie zu ähnlichen Schlussfolgerungen führt wie in dem sogenannten Stern-Bericht, der 2006 auf Befehl der britischen Regierung von Ökonomen Nicholas Stern erstellt wurde.",4
69,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Observers say the PIK estimate is likely an undercount of the actual economic impact.,"Beobachter sagen, dass die PIK-Schätzung wahrscheinlich eine Unterzählung des tatsächlichen ökonomischen Effekts ist.",4
70,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"""In addition, we must drastically and immediately reduce our CO2 emissions  otherwise the economic losses will be even higher in the second half of the century and will amount to a global average of up to 60% by the end of the century,"" she said.","Darüber hinaus müssen wir unsere CO2-Emissionen drastisch und sofort reduzieren, andernfalls werden die ökonomischen Verluste im zweiten Halbjahr des Jahrhunderts bis zu 60% am Ende des Jahrhunderts betragen.",4
71,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,The German-Russian nationals are accused of acting as agents for sabotage purposes.,Die deutschen-russischen Staatsangehörigen werden mit der Durchführung von Agenten für sabotagezwecke beschuldigt.,4
72,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,German police arrest two suspected of spying for Russia,Die deutsche Polizei nimmt zwei Beschuldigte wegen Spionage für Russland fest.,4
73,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Germany also summoned Russia's ambassador in Berlin after the arrests were announced.,Deutschland hat auch den russischen Botschafter in Berlin nach der Ankündigung der Festnahmen aufgerufen.,5
74,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"""We will not allow Putin to bring his terror to Germany,"" Foreign Minister Annalena Baerbock wrote on the social media platform X, formerly Twitter.","Niemals werden wir Putin erlaub, seinen Terror nach Deutschland zu bringen, schreibt Außenminister Annalena Baerbock auf der sozialen Medialplattform X, früher Twitter.",4
75,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"The men were said to have scouted out potential attack targets, including US military bases in Germany.","Die Männer wurden als verspotten, dass sie potenzielle Angriffsziele, einschließlich US-Militärbasen in Deutschland, abgescoutet haben.",4
76,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,The accused is said to have been exchanging ideas with the agent since October 2023 about possible sabotage action.,Der Angeklagte soll mit dem Agenten seit Oktober 2023 über mögliche Sabotagemaßnahmen ausgetauscht haben.,4
77,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"The actions were intended, in particular, to undermine the military support provided by Germany and its allies to Ukraine.","Die Handlungen waren mit dem Ziel ausgerichtet, insbesondere die militärische Unterstützung, die Deutschland und seine Verbündeten Ukraine bereitstellte, zu unterminieren.",nan
78,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"He had scouted out some of the targeted objects, taking photos and videos of, for example, military transports and goods.","Er hatte einige der zu erreichenden Gegenstände erkundet, indem er Fotos und Videos von beispielsweise militärischen Transporten und Waren machte.",4
79,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,He is then said to have passed the collected information to his handler.,Er soll dann die gesammelten Informationen an seinen Handler weitergegeben haben.,4
80,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Authorities say Germany, which has become one of Kyiv's biggest suppliers of military aid, is a key target for Russian spying operations.","Die Behörden sagen, dass Deutschland, das zu Kyjiws größten Lieferanten von Militärhilfe geworden ist, eine wichtige Zielgruppe für russische Spionageoperationen ist.",4
