sent_id,generator,evaluator,german_sentence,Translation,number_of_critical_errors,number_of_major_errors,number_of_minor_errors,final_score
11,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Wie die Feuerwehr mitteilte, konnten die 64 Arbeiter aus einem Steinbruch im Osten der Insel kurz in Sicherheit gebracht werden.",The firefighters reported that the 64 workers were able to be temporarily evacuated from a quarry in the eastern part of the island.,1,2,3,-14
12,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Zuvor hatten Rettungskräfte bereits sechs Arbeiter, die in einem anderen Steinbruch festsaßen, per Hubschrauber aus dem Gebiet gebracht."," Before, rescue crews had already brought six workers who were stuck in a different quarry by helicopter from the area.",1,1,2,-10
13,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Unterdessen stieg die Zahl der Todesopfer nach dem Erdbeben auf zehn.," During that time, the number of deaths increased to ten following the earthquake.",,,,
14,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Ein 65 Jahre alter Mann sei auf einem Wanderpfad im Taroko-Nationalpark im Osten der Insel gefunden worden, teilten die Behörden mit."," An 65-year-old man was found on a hiking trail in Taroko Gorge National Park in the east of the island, authorities reported.",1,1,3,-11
15,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Die Zahl der Verletzten nach den Erdstößen legte derweil leicht auf 1058 zu.," The number of injured people after the earthquakes had risen slightly to 1,058.",0,1,2,-5
16,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Die Aufräumarbeiten gehen derweil weiter.,The cleaning work continues in the meantime.,0,1,1,-4
17,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"So liefen umfangreiche Maßnahmen an, um beschädigte Straßen zu reparieren und Gebäude in gefährlicher Schieflage zu stützen.",Extensive measures were taken to repair damaged roads and stabilize buildings in precarious positions.,1,1,1,-9
18,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Nach dem Beben sind nach amtlichen Angaben noch mehr als 640 Menschen von der Außenwelt abgeschnitten.," After the flooding, official figures indicate that over 640 people from the affected area have been cut off.",1,2,3,-14
19,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Allein in einer Wanderunterkunft im Kreis Hualien halten sich demnach 615 Menschen auf.,There are 615 people staying in a hiker's hostel in the Hualien district.,0,1,1,-4
20,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,24 Touristen säßen noch in einer Höhle fest.,24 tourists were still stuck in a cave.,1,1,1,-9
21,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Zu weiteren etwa 30 vermissten Menschen fehlte noch jeder Kontakt.,There were still contacts missing for approximately 30 people who had gone missing.,1,1,2,-10
22,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Die Suche nach eingeschlossenen und vermissten Menschen konzentriert sich auf die Gegend um die Stadt Hualien.,The search for enclosed and missing persons focuses on the area surrounding the city of Hualien.,1,1,2,-10
23,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Nach einem Besuch in einem dortigen Notfallzentrum sagte Regierungschef Chen Chien-jen, er hoffe, dass ""wir den heutigen Tag nutzen können, um alle gestrandeten und vermissten Menschen zu finden""."," After a visit to a local emergency center, government chief Chen Chien-jen said, ""We can use today to find all the stranded and missing people.""",1,1,2,-10
24,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Immer mehr Politiker und Gesundheitsexperten fordern, dass Deutschland die Zeit während der Corona-Pandemie kritisch aufarbeiten soll.",More and more politicians and healthcare experts are calling for Germany to critically reassess its handling of the Corona pandemic.,1,1,3,-11
25,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Sie war eine der größten Herausforderungen für die Politik nach dem Zweiten Weltkrieg, nicht nur in Deutschland: Weltweit hatte die Corona-Pandemie  ab Anfang 2020 zur Folge, dass Grundrechte außer Kraft gesetzt und Lockdowns verhängt wurden."," She was one of the greatest challenges for politics after World War II, not only in Germany. Worldwide, the Corona pandemic since early 2020 led to the suspension of fundamental rights and lockdowns.",1,1,0,-8
26,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Schulen, Kindergärten und viele Unternehmen mussten vorübergehend schließen."," Schools, childcare centers and many companies had to temporarily close.",,,,
27,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Und nachdem die ersten  Impfstoffe bis Mitte des Jahres 2021 in großen Mengen verfügbar waren, entstand ein großer Druck, auch in der Gesellschaft, sich auch tatsächlich impfen zu lassen."," And after the first vaccinations had become available in large quantities by mid-2021, there was a growing pressure, also in society, to get vaccinated as well.",1,1,1,-9
28,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Jetzt, mehr als vier Jahre später, ist in Deutschland eine Debatte darüber entstanden, ob und in welcher Form das Land diese intensive Zeit und die politischen Entscheidungen aufarbeiten soll."," Four years later, a debate has emerged in Germany regarding how the country should process the intense period and political decisions of the past.",1,1,3,-11
29,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Viele vor allem kleine Betriebe, Restaurants etwa, haben die Zeit der Schließungen nicht überlebt."," Many small businesses, such as restaurants, have not survived the closure period.",1,1,1,-9
30,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Und fast einhellig gestehen damalige und heutige Politiker ein, vor allem mit Kindern und Jugendlichen viel zu streng umgegangen zu sein.",Many contemporary and past politicians admit that they have been too strict with children and teenagers.,1,1,2,-10
31,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Jetzt, mehr als vier Jahre später, ist in Deutschland eine Debatte darüber entstanden, ob und in welcher Form das Land diese intensive Zeit und die politischen Entscheidungen aufarbeiten soll."," Four years later, a debate has emerged in Germany regarding how the country should process the intense period and political decisions of the past.",1,1,3,-11
32,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Insgesamt ist Deutschland gemessen an seiner sehr alten Bevölkerung gut durch die Pandemie gekommen.,Germany has weathered the pandemic fairly well considering its very old population.,0,1,5,-8
33,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Herr Weidinger ist ein älterer Mann, er sagt: ""Das war eine schwierige Situation, also die einzige wahre Lösung gab es da vermutlich nicht."" "," Mr. Weidinger is an older man. He says, ""That was a difficult situation, so there probably wasn't a genuine solution to it.""",1,2,3,-14
34,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Wenn Deutschland jetzt seine Pandemie-Geschichte wirklich aufarbeitet, wird es eines der ersten Länder sein, die das tun."," If Germany now works through its pandemic history, it will be one of the first countries to do so.",1,1,1,-9
35,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Fest steht wohl schon jetzt: Die Verwerfungen durch Corona waren woanders weitaus stärker.,The effects of Corona are likely already noticeable: The distortions caused by Corona were significantly greater elsewhere.,1,1,1,-9
36,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Raspelkurze Haare, schwarze Brille, Backenbart - und seine größte Leidenschaft gilt dem Computer."," Shaved short hair, black glasses, a goatee and his greatest passion is computers.",1,1,2,-10
37,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Jetzt wird der Berliner, der so gar nicht wie ein Superman aussieht, wie ein Superheld gefeiert."," Now the Berliner, who doesn't look like Superman at all, is being celebrated like a superhero.",,,,
38,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Denn: Er hat nichts weniger getan als das Internet gerettet und einen weltweiten Cyberangriff verhindert.,He has done absolutely nothing less than saving the internet and preventing a worldwide cyberattack.,1,1,1,-9
39,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Zum Glück sitzt er gern vorm Computer.,He likes to sit comfortably in front of the computer.,0,1,1,-4
40,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Das hat er auch vor ein paar Tagen im Flieger gemacht, als er nach einem Heimatbesuch wieder auf dem Rückweg nach San Francisco war.",He had also done it on a plane a few days earlier when he was flying back to San Francisco after a visit home.,0,1,1,-4
41,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Dort heuerte er vor fünf Jahren der Entwickler bei Microsoft an.," Five years ago, he worked as a developer at Microsoft.",0,1,1,-4
42,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Bei einigen Software-Tests auf seinem Computer fällt ihm auf, dass sich Verzögerungen von einer halben Sekunde einschlichen, wenn er Befehle im Linux-Betriebssystem eingab."," During some software tests on his computer, he realized that delays of half a second occurred whenever he issued commands in the Linux operating system.",1,2,3,-14
43,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Er macht sich auf Spurensuche - und eine erstaunliche Entdeckung.,He goes on a trailblazer and makes an astonishing discovery.,1,1,1,-9
44,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Freund bemerkte, dass die Anmeldung plötzlich mehr Rechenleistung benötigte, ein Leistungsabfall von lediglich 500 Millisekunden."," A friend noticed that the registration suddenly required more processing power, a performance drop of just 500 milliseconds.",1,1,2,-10
45,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Erstaunlich, wem er da auf die Spur kommt: Unbekannte haben im Linux-Betriebssystem eine sogenannte Hintertür eingebaut, die aktuellsten Versionen von ""xz-utils"" (ein Linux-Software-Werkzeug) manipuliert."," Surprisingly, whoever comes across him: Unknown individuals have built into the Linux operating system a backdoor that manipulates the most recent versions of the Ã¯Â¿Â½xz-utilsÃ¯Â¿Â½ (a Linux software tool).",1,2,3,-14
46,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Die ausgetüftelte Schadsoftware war vermutlich das Ergebnis einer jahrelangen Geheimaktion.,The leaked malware was presumably the outcome of a long-term secret operation.,0,1,4,-7
47,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Offenbar sollte schon bald ein weltweiter Cyberangriff gestartet werden.," Apparently, a worldwide cyberattack should be initiated soon.",1,1,2,-10
48,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Der Schaden wäre riesig gewesen, die Hacker hätten Zugriff auf Millionen Computer gehabt."," The damage would have been enormous, as the hackers had access to millions of computers.",,,,
49,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Auch etliche Rechenzentren laufen auf der Basis von Linux.,Many computing centers run on a Linux base.,0,1,1,-4
50,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Am Karfreitag teilte Freund IT-Spezialisten seine Entdeckung mit - und schreckte weltweit Experten auf.," On Good Friday, a friend shared his discovery with IT specialists and shocked experts worldwide.",1,1,2,-10
51,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Wer hinter der Aktion steckt, ist noch unklar.",The mastermind behind the action is still unknown.,1,1,1,-9
52,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Wahrscheinlich sind es Geheimdienst-Agenten eines Nachrichten-Dienstes, die in monatelanger Vorarbeit eine weltweite Aktion planten - die jetzt ein deutscher Computer-Nerd auffliegen ließ."," It is likely that intelligence agents from a security agency have been planning a global operation for months, and now a German computer nerd has stumbled upon it.",1,1,3,-11
53,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Microsoft-CEO Satya Nadella lobte Freunds ""Neugier und sein handwerkliches Können.""",Microsoft CEO Satya Nadella praised his friends' curiosity and their craftsmanship.,0,1,1,-4
54,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Der 38-Jährige selbst bleibt bescheiden, sagt: ""Ich bin ein eher privater Mensch."""," The 38-year-old himself remains humble, saying: ""I'm more of a private person.""",1,2,1,-12
55,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Die Wahrheit enthüllt: Was die Medien Ihnen über Solar verschweigen.,The truth reveals: What the media keep hidden about solar energy.,1,2,3,-14
56,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Die Medien präsentieren Solarenergie oft als teure oder ineffiziente Option, doch die Wahrheit sieht ganz anders aus."," Media often portray solar energy as expensive or inefficient, but the reality paints a different picture.",1,1,2,-10
57,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Hinter den Kulissen hat sich ein Wandel vollzogen, der das Potential hat, Ihre Finanzen radikal zu verändern."," Behind the scenes, a transformation has taken place that has the potential to radically alter your finances.",1,1,3,-11
58,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Wir decken auf, was wirklich hinter den Schlagzeilen steckt und warum eine Solaranlage eine Investition in Ihre finanzielle Zukunft ist.",We delve deeper into what truly lies behind the headlines and why a solar plant is an investment in your financial future.,1,1,1,-9
59,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Warum kaum jemand vom Preissturz bei Solaranlagen weiß.,Why does hardly anyone know about the price drop in solar installations...,1,1,2,-10
60,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Die Kosten für Solarpanels sind in den letzten Jahren drastisch gefallen - ein Detail, das oft unter den Tisch fällt.",The costs of solar panels have dramatically fallen in recent years - a detail often overlooked.,1,1,1,-9
61,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Dank fortschrittlicher Technologien und Massenproduktion sind die Preise so niedrig wie nie.," Thanks to advancements in technology and mass production, prices are lower than ever.",1,1,1,-9
62,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Die Lager sind extrem gut gefüllt!,The warehouses are incredibly well stocked!,0,1,1,-4
63,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Oft wird dieser entscheidende Fakt jedoch verschwiegen, um traditionelle Energieanbieter zu schützen."," Often, this crucial factor is hushed up to protect traditional energy providers.",1,1,2,-10
64,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Über die Lebensdauer einer Solaranlage können Sie Zehntausende Euro an Stromkosten einsparen.," By extending the lifespan of a solar plant, you can save tens of thousands of euros in electricity costs.",0,1,1,-4
65,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Die anfängliche Investition rechnet sich schneller, als Sie denken.",The initial investment pays off faster than you think.,1,1,2,-10
66,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Es gibt finanzielle Unterstützungen, die Ihre Investition noch attraktiver machen - ein weiteres Detail, das oft nicht breit kommuniziert wird.",There are financial subsidies available that make your investment even more attractive - a detail that is often not widely communicated.,1,1,2,-10
67,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Binden Sie sich nicht länger an die Unberechenbarkeit des Energiemarktes.,Don't get stuck on the unpredictability of the energy market.,1,1,1,-9
68,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Mit einer Solaranlage sichern Sie sich gegen zukünftige Preissteigerungen ab.," By installing a solar system, you secure yourself against future price increases.",0,1,1,-4
69,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Lithium ist ein wesentlicher Bestandteil von Batteriespeichersystemen, die fast immer zusammen mit Photovoltaikanlagen installiert werden.","Lithium is an essential component of battery energy storage systems, which are almost always installed alongside photovoltaic systems.",1,1,2,-10
70,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Der Preis für Lithium ist aufgrund von Produktionssteigerungen und der Erschließung neuer Lithiumminen weltweit stabilisiert und sogar stark reduziert.,Prices for lithium have stabilized globally due to production increases and the discovery of new lithium mines.,0,1,2,-5
71,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Das sorgt auch für deutlich günstigere Produktionspreise in der Solartechnik.,This also leads to significantly lower production costs in the solar technology sector.,0,1,1,-4
72,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Sie drücken bei Konsumenten weiterhin die alten Preise durch und erhöhen den eigenen Gewinn drastisch.," Consumers are still paying the old prices, while their own profits are increasing dramatically.",1,1,0,-8
73,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Um Verbraucher vor diesem kritischen Fehler zu bewahren, haben junge deutsche Unternehmer jetzt ein Vergleichs-Portal erschaffen."," To safeguard consumers from this critical error, young German entrepreneurs have now created a comparison portal.",,,,
74,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Das Portal erfreut sich derzeit immer größerer Beliebtheit, denn es vereinfacht das Einholen von Erstinformationen ungemein."," The portal is currently enjoying growing popularity, as it simplifies the acquisition of primary information beyond compare.",0,1,2,-5
75,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Das Besondere: Die Anbieter sind sich um den direkten Konkurrenzkampf bewusst und daher bemüht, Ihnen ein faires Angebot zu machen.",The special thing: Providers are aware of the direct competitive struggle and therefore make an effort to offer you a fair deal.,0,1,2,-5
76,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Erstmals hat die europäische Polizeibehörde Europol auf der Grundlage von Daten aus allen EU-Mitgliedsstaaten die Organisierte Kriminalität unter die Lupe genommen.,Europol first took organized crime under scrutiny based on data from all EU member states.,0,1,2,-5
77,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Die europäische Polizeibehörde Europol hat erstmals die ""bedrohlichsten"" Banden des Kontinents analysiert."," Europol, the European police agency, has for the first time analyzed the most dangerous gangs on the continent.",1,1,3,-11
78,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Das schwere und organisierte Verbrechen ist allgegenwärtig und stellt weiterhin eine große Bedrohung der inneren Sicherheit der Europäischen Union dar"", heißt es in der 51 Seiten starken Studie."," The severe and organized crime is ubiquitous and poses a significant threat to the internal security of the European Union, as stated in the 51-page study.",1,1,2,-10
79,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Die größte Bedrohung liegt Europol zufolge in der Infiltrierung der legalen Geschäftswelt - Ziele sind dabei die Erleichterung und Verdeckung der Verbrechen sowie das Waschen der Profite.," The greatest threat, according to Europol, lies in the infiltration of the legal business world - the goals are to facilitate and conceal crimes and to launder profits.",1,1,3,-11
80,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Für ihre kriminellen Aktivitäten nutzen dem Bericht zufolge rund 86 Prozent der Banden ""legale Handelsstrukturen"".",Approximately 86 percent of the gangs in the report utilize legal business structures for their criminal activities.,1,1,2,-10
81,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Kriminelle Banden bevorzugten Immobilien als Mittel zur Wäsche von Erträgen aus Straftaten, so Europol, und setzten dabei Anwälte oder Finanzexperten ein, ""die sich manchmal des kriminellen Ursprungs der Vermögenswerte nicht bewusst sind""."," Criminal gangs preferred properties as a means of generating profits from criminal activities, according to Europol. They often employed lawyers or financial experts who were sometimes unaware of the criminal origins of the properties they handled.",1,1,2,-10
82,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Öl, Kupfer und Gold immer teurer: Was ist da los?",Copper and gold are always more expensive: What's going on?,1,1,2,-10
83,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Tankstellen in Deutschland sind wichtige Preis-Indikatoren: Wer regelmäßig an die Zapfsäule muss, bekommt ein Gespür für den Ölpreis.",Fuel stations in Germany are important price indicators: Anyone who regularly fills up at the pump gets a feel for the fuel price.,0,1,2,-5
84,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Insbesondere die Ereignisse im Nahen und Mittleren Osten haben dazu beigetragen, dass die Ölpreise gestiegen sind."," In particular, the events in the Near East and the Middle East have contributed to the rise in oil prices.",1,1,2,-10
85,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Generell haben Rohstoffpreise, darunter auch Kupfer und Gold, in jüngster Zeit auf breiter Front zugelegt."," In recent times, general commodity prices, including copper and gold, have surged across the board.",0,1,2,-5
86,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,So stieg der Preis für die Feinunze Gold zuletzt beispielsweise auf über 2300 US-Dollar - ein absoluter Höchststand.,The price of an ounce of gold has recently soared to over 2300 US dollars - a new all-time high.,1,2,2,-13
87,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Laut Carsten Fritsch von der Commerzbank kann man aktuell gar von einer ""Rohstoff-Rallye"" sprechen."," According to Carsten Fritsch from the Commercial Bank, one can currently speak of a ""raw materials rally.""",1,1,2,-10
88,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Die Gründe für den Preisanstieg - von Öl bis zum Gold - würden sich allesamt ähneln: ""Zumeist sind es Anzeichen für eine anziehende Nachfrage - gepaart mit Nachrichten eines eingeschränkten Angebots."""," The foundation for the price increase - from ice to gold - would all point towards: ""Mostly, it is an indication of a strong demand - accompanied by news of a restricted supply"".",1,2,3,-14
89,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Der Preis für das wichtige Industriemetall Kupfer wird im Moment auch durch Spekulationen rund um eine Zinssenkung der US-Notenbank getrieben.,The price of the important industrial metal copper is currently also influenced by speculations surrounding a possible reduction in US interest rates.,1,1,2,-10
90,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Das schwächt wiederum den US-Dollar - und das macht in Dollar gehandelte Rohstoffe wie eben Kupfer für Anleger in anderen Währungsräumen billiger, das erhöht die Nachfrage und somit den Preis."," The weakening of the US dollar makes dollar-denominated commodities like copper cheaper for investors in other currencies, thereby increasing demand and thus pushing up prices.",1,1,1,-9
91,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Beim Gold - in der Regel der sichere Hafen für Anleger in Krisensituationen - hingegen rätseln Anleger wie Marktbeobachter allerdings über die Gründe des Preisanstiegs.," In times of crisis, gold is usually a safe harbor for investors. However, investors and market observers alike are puzzled over the cause of price increases.",1,1,3,-11
92,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Mancher vermutet auch hier einen Zusammenhang mit der erhofften Zinssenkung.,Some people also suspect a connection with the expected interest rate reduction.,1,1,1,-9
93,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Allerdings verweist das World Gold Council auch auf das derzeit große Interesse von verschiedenen Notenbanken.," Despite this, the World Gold Council also highlights the current strong interest from various banks.",1,1,1,-9
94,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Diese hätten zuletzt ihre Käufe von Gold ""auf höchstem Niveau fortgesetzt"".",They had recently continued their gold purchases at the highest level.,1,1,2,-10
95,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Im Falle des Erdöls kommt ein besonderer angebotseinschränkender Faktor hinzu: Die OPEC.," In the case of oil, an additional offer-reducing factor comes into play: OPEC.",1,1,1,-9
96,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Die Organisation erdölexportierender Länder hat bereits vor einigen Monaten die Produktion eingeschränkt.,The organization of exporting countries has already reduced production several months ago.,1,1,2,-10
97,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Mitte dieser Woche verkündete sie, keine Änderungen an dieser Förderpolitik vorzunehmen."," This week, she announced that she would make no changes to the company's policy.",1,1,1,-9
98,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Auch das dürfte dazu beitragen, die globalen Märkte in den nächsten Monaten angespannt zu halten - und den Preis für Rohöl womöglich weiter in die Höhe zu treiben.",The situation could also contribute to keeping global markets under pressure in the coming months - and pushing oil prices even higher.,1,1,3,-11
99,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Für Autofahrerinnen und Autofahrer sind diese Nachrichten rund um das 159-Liter Fass keine guten - zumindest nicht für diejenigen, die einen Verbrenner-PKW nutzen."," For car drivers and car drivers, these news regarding the 159-liter container are not good - at least not for those using a combustion engine vehicle.",1,1,3,-11
100,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Die Ölpreisentwicklung hat nämlich direkt spürbare Auswirkungen an der Tankstelle.,The fuel price developments have a direct impact on the gas station.,0,1,1,-4
101,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Da die Preise für Benzin und Diesel eng mit den Rohölpreisen korrelieren, führen steigende Ölpreise zu höheren Kraftstoffpreisen.",Rising oil prices lead to higher fuel prices due to the close correlation between gasoline and diesel prices and crude oil prices.,1,1,1,-9
102,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Verbraucher müssen somit tiefer in die Tasche greifen, wenn sie ihr Verbrenner-Auto auftanken wollen.",Consumers have to dig deeper into their pockets if they want to order a burner-car.,1,1,2,-10
103,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Darauf verweist auch eine aktuelle Auswertung des Automobilclubs ADAC zur Entwicklung der Kraftstoffpreise im März.,The current evaluation of the Automobile Club ADAC also refers to the development of fuel prices in March.,0,1,1,-4
104,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Demnach ist der Liter Super E10 drei Wochen in Folge im Preis gestiegen und lag im Monatsmittel bei 1,787 Euro."," Subsequently, the liter Super E10 fuel has increased in price for three consecutive weeks and averaged 1.787 euros per month.",0,1,2,-5
105,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Der Dieselpreis veränderte sich dagegen kaum.,The diesel price changed little.,0,1,1,-4
106,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Dass Diesel von den Preissteigerungen weniger stark betroffen ist, dürfte dem ADAC zufolge am bevorstehenden Ende der Heizperiode liegen - dann sinkt nämlich die Nachfrage nach dem Diesel sehr ähnlichen Heizöl."," Diesel is less affected by price increases because, according to the ADAC, demand for it will likely decline at the end of the heating season - as heating oil becomes more affordable.",1,1,0,-8
107,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Stephan Jäger ist der erste männliche deutsche Golfer seit neun Jahren, der einen Sieg auf der PGA-Tour erringen kann.",Stephan Jaeger is the first male German golfer in nine years to achieve a victory on the PGA Tour.,,,,
108,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Trotz wenig Erfolg auf höchster Ebene erfreut sich der Golfsport in Deutschland enormer Popularität.," Despite little success at the highest level, golf enjoys immense popularity in Germany.",1,1,1,-9
