sent_id,generator,evaluator,german_sentence,Translation,score
19,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Allein in einer Wanderunterkunft im Kreis Hualien halten sich demnach 615 Menschen auf.,There are 615 people staying in a hiker's hostel in the Hualien district.,4
20,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,24 Touristen säßen noch in einer Höhle fest.,24 tourists were still stuck in a cave.,3
21,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Zu weiteren etwa 30 vermissten Menschen fehlte noch jeder Kontakt.,There were still contacts missing for approximately 30 people who had gone missing.,3
22,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Die Suche nach eingeschlossenen und vermissten Menschen konzentriert sich auf die Gegend um die Stadt Hualien.,The search for enclosed and missing persons focuses on the area surrounding the city of Hualien.,5
23,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Nach einem Besuch in einem dortigen Notfallzentrum sagte Regierungschef Chen Chien-jen, er hoffe, dass ""wir den heutigen Tag nutzen können, um alle gestrandeten und vermissten Menschen zu finden""."," After a visit to a local emergency center, government chief Chen Chien-jen said, ""We can use today to find all the stranded and missing people.""",4
24,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Immer mehr Politiker und Gesundheitsexperten fordern, dass Deutschland die Zeit während der Corona-Pandemie kritisch aufarbeiten soll.",More and more politicians and healthcare experts are calling for Germany to critically reassess its handling of the Corona pandemic.,4
25,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Sie war eine der größten Herausforderungen für die Politik nach dem Zweiten Weltkrieg, nicht nur in Deutschland: Weltweit hatte die Corona-Pandemie  ab Anfang 2020 zur Folge, dass Grundrechte außer Kraft gesetzt und Lockdowns verhängt wurden."," She was one of the greatest challenges for politics after World War II, not only in Germany. Worldwide, the Corona pandemic since early 2020 led to the suspension of fundamental rights and lockdowns.",4
26,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Schulen, Kindergärten und viele Unternehmen mussten vorübergehend schließen."," Schools, childcare centers and many companies had to temporarily close.",4
27,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Und nachdem die ersten  Impfstoffe bis Mitte des Jahres 2021 in großen Mengen verfügbar waren, entstand ein großer Druck, auch in der Gesellschaft, sich auch tatsächlich impfen zu lassen."," And after the first vaccinations had become available in large quantities by mid-2021, there was a growing pressure, also in society, to get vaccinated as well.",4
28,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Jetzt, mehr als vier Jahre später, ist in Deutschland eine Debatte darüber entstanden, ob und in welcher Form das Land diese intensive Zeit und die politischen Entscheidungen aufarbeiten soll."," Four years later, a debate has emerged in Germany regarding how the country should process the intense period and political decisions of the past.",4
29,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Viele vor allem kleine Betriebe, Restaurants etwa, haben die Zeit der Schließungen nicht überlebt."," Many small businesses, such as restaurants, have not survived the closure period.",4
30,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Und fast einhellig gestehen damalige und heutige Politiker ein, vor allem mit Kindern und Jugendlichen viel zu streng umgegangen zu sein.",Many contemporary and past politicians admit that they have been too strict with children and teenagers.,4
31,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Jetzt, mehr als vier Jahre später, ist in Deutschland eine Debatte darüber entstanden, ob und in welcher Form das Land diese intensive Zeit und die politischen Entscheidungen aufarbeiten soll."," Four years later, a debate has emerged in Germany regarding how the country should process the intense period and political decisions of the past.",4
32,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Insgesamt ist Deutschland gemessen an seiner sehr alten Bevölkerung gut durch die Pandemie gekommen.,Germany has weathered the pandemic fairly well considering its very old population.,4
33,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Herr Weidinger ist ein älterer Mann, er sagt: ""Das war eine schwierige Situation, also die einzige wahre Lösung gab es da vermutlich nicht."" "," Mr. Weidinger is an older man. He says, ""That was a difficult situation, so there probably wasn't a genuine solution to it.""",4
34,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Wenn Deutschland jetzt seine Pandemie-Geschichte wirklich aufarbeitet, wird es eines der ersten Länder sein, die das tun."," If Germany now works through its pandemic history, it will be one of the first countries to do so.",4
35,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Fest steht wohl schon jetzt: Die Verwerfungen durch Corona waren woanders weitaus stärker.,The effects of Corona are likely already noticeable: The distortions caused by Corona were significantly greater elsewhere.,4
36,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Raspelkurze Haare, schwarze Brille, Backenbart - und seine größte Leidenschaft gilt dem Computer."," Shaved short hair, black glasses, a goatee and his greatest passion is computers.",3
37,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Jetzt wird der Berliner, der so gar nicht wie ein Superman aussieht, wie ein Superheld gefeiert."," Now the Berliner, who doesn't look like Superman at all, is being celebrated like a superhero.",3
38,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Denn: Er hat nichts weniger getan als das Internet gerettet und einen weltweiten Cyberangriff verhindert.,He has done absolutely nothing less than saving the internet and preventing a worldwide cyberattack.,3
39,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Zum Glück sitzt er gern vorm Computer.,He likes to sit comfortably in front of the computer.,3
40,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Das hat er auch vor ein paar Tagen im Flieger gemacht, als er nach einem Heimatbesuch wieder auf dem Rückweg nach San Francisco war.",He had also done it on a plane a few days earlier when he was flying back to San Francisco after a visit home.,3
41,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Dort heuerte er vor fünf Jahren der Entwickler bei Microsoft an.," Five years ago, he worked as a developer at Microsoft.",3
42,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Bei einigen Software-Tests auf seinem Computer fällt ihm auf, dass sich Verzögerungen von einer halben Sekunde einschlichen, wenn er Befehle im Linux-Betriebssystem eingab."," During some software tests on his computer, he realized that delays of half a second occurred whenever he issued commands in the Linux operating system.",4
43,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Er macht sich auf Spurensuche - und eine erstaunliche Entdeckung.,He goes on a trailblazer and makes an astonishing discovery.,4
44,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Freund bemerkte, dass die Anmeldung plötzlich mehr Rechenleistung benötigte, ein Leistungsabfall von lediglich 500 Millisekunden."," A friend noticed that the registration suddenly required more processing power, a performance drop of just 500 milliseconds.",4
45,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Erstaunlich, wem er da auf die Spur kommt: Unbekannte haben im Linux-Betriebssystem eine sogenannte Hintertür eingebaut, die aktuellsten Versionen von ""xz-utils"" (ein Linux-Software-Werkzeug) manipuliert."," Surprisingly, whoever comes across him: Unknown individuals have built into the Linux operating system a backdoor that manipulates the most recent versions of the Ã¯Â¿Â½xz-utilsÃ¯Â¿Â½ (a Linux software tool).",3
46,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Die ausgetüftelte Schadsoftware war vermutlich das Ergebnis einer jahrelangen Geheimaktion.,The leaked malware was presumably the outcome of a long-term secret operation.,4
47,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Offenbar sollte schon bald ein weltweiter Cyberangriff gestartet werden.," Apparently, a worldwide cyberattack should be initiated soon.",4
48,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Der Schaden wäre riesig gewesen, die Hacker hätten Zugriff auf Millionen Computer gehabt."," The damage would have been enormous, as the hackers had access to millions of computers.",4
49,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Auch etliche Rechenzentren laufen auf der Basis von Linux.,Many computing centers run on a Linux base.,4
50,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Am Karfreitag teilte Freund IT-Spezialisten seine Entdeckung mit - und schreckte weltweit Experten auf.," On Good Friday, a friend shared his discovery with IT specialists and shocked experts worldwide.",4
51,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Wer hinter der Aktion steckt, ist noch unklar.",The mastermind behind the action is still unknown.,3
52,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Wahrscheinlich sind es Geheimdienst-Agenten eines Nachrichten-Dienstes, die in monatelanger Vorarbeit eine weltweite Aktion planten - die jetzt ein deutscher Computer-Nerd auffliegen ließ."," It is likely that intelligence agents from a security agency have been planning a global operation for months, and now a German computer nerd has stumbled upon it.",4
53,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Microsoft-CEO Satya Nadella lobte Freunds ""Neugier und sein handwerkliches Können.""",Microsoft CEO Satya Nadella praised his friends' curiosity and their craftsmanship.,4.5
54,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Der 38-Jährige selbst bleibt bescheiden, sagt: ""Ich bin ein eher privater Mensch."""," The 38-year-old himself remains humble, saying: ""I'm more of a private person.""",4
55,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Die Wahrheit enthüllt: Was die Medien Ihnen über Solar verschweigen.,The truth reveals: What the media keep hidden about solar energy.,4
56,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Die Medien präsentieren Solarenergie oft als teure oder ineffiziente Option, doch die Wahrheit sieht ganz anders aus."," Media often portray solar energy as expensive or inefficient, but the reality paints a different picture.",4
57,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Hinter den Kulissen hat sich ein Wandel vollzogen, der das Potential hat, Ihre Finanzen radikal zu verändern."," Behind the scenes, a transformation has taken place that has the potential to radically alter your finances.",4
58,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Wir decken auf, was wirklich hinter den Schlagzeilen steckt und warum eine Solaranlage eine Investition in Ihre finanzielle Zukunft ist.",We delve deeper into what truly lies behind the headlines and why a solar plant is an investment in your financial future.,4
59,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Warum kaum jemand vom Preissturz bei Solaranlagen weiß.,Why does hardly anyone know about the price drop in solar installations...,3
60,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Die Kosten für Solarpanels sind in den letzten Jahren drastisch gefallen - ein Detail, das oft unter den Tisch fällt.",The costs of solar panels have dramatically fallen in recent years - a detail often overlooked.,3
61,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Dank fortschrittlicher Technologien und Massenproduktion sind die Preise so niedrig wie nie.," Thanks to advancements in technology and mass production, prices are lower than ever.",4
62,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Die Lager sind extrem gut gefüllt!,The warehouses are incredibly well stocked!,5
63,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Oft wird dieser entscheidende Fakt jedoch verschwiegen, um traditionelle Energieanbieter zu schützen."," Often, this crucial factor is hushed up to protect traditional energy providers.",3
64,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Über die Lebensdauer einer Solaranlage können Sie Zehntausende Euro an Stromkosten einsparen.," By extending the lifespan of a solar plant, you can save tens of thousands of euros in electricity costs.",4
65,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Die anfängliche Investition rechnet sich schneller, als Sie denken.",The initial investment pays off faster than you think.,4
66,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Es gibt finanzielle Unterstützungen, die Ihre Investition noch attraktiver machen - ein weiteres Detail, das oft nicht breit kommuniziert wird.",There are financial subsidies available that make your investment even more attractive - a detail that is often not widely communicated.,4
67,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Binden Sie sich nicht länger an die Unberechenbarkeit des Energiemarktes.,Don't get stuck on the unpredictability of the energy market.,4.5
68,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Mit einer Solaranlage sichern Sie sich gegen zukünftige Preissteigerungen ab.," By installing a solar system, you secure yourself against future price increases.",4
69,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Lithium ist ein wesentlicher Bestandteil von Batteriespeichersystemen, die fast immer zusammen mit Photovoltaikanlagen installiert werden.","Lithium is an essential component of battery energy storage systems, which are almost always installed alongside photovoltaic systems.",4
70,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Der Preis für Lithium ist aufgrund von Produktionssteigerungen und der Erschließung neuer Lithiumminen weltweit stabilisiert und sogar stark reduziert.,Prices for lithium have stabilized globally due to production increases and the discovery of new lithium mines.,4
71,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Das sorgt auch für deutlich günstigere Produktionspreise in der Solartechnik.,This also leads to significantly lower production costs in the solar technology sector.,4
72,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Sie drücken bei Konsumenten weiterhin die alten Preise durch und erhöhen den eigenen Gewinn drastisch.," Consumers are still paying the old prices, while their own profits are increasing dramatically.",3
73,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Um Verbraucher vor diesem kritischen Fehler zu bewahren, haben junge deutsche Unternehmer jetzt ein Vergleichs-Portal erschaffen."," To safeguard consumers from this critical error, young German entrepreneurs have now created a comparison portal.",5
74,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Das Portal erfreut sich derzeit immer größerer Beliebtheit, denn es vereinfacht das Einholen von Erstinformationen ungemein."," The portal is currently enjoying growing popularity, as it simplifies the acquisition of primary information beyond compare.",4
75,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Das Besondere: Die Anbieter sind sich um den direkten Konkurrenzkampf bewusst und daher bemüht, Ihnen ein faires Angebot zu machen.",The special thing: Providers are aware of the direct competitive struggle and therefore make an effort to offer you a fair deal.,4
76,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Erstmals hat die europäische Polizeibehörde Europol auf der Grundlage von Daten aus allen EU-Mitgliedsstaaten die Organisierte Kriminalität unter die Lupe genommen.,Europol first took organized crime under scrutiny based on data from all EU member states.,4.5
77,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Die europäische Polizeibehörde Europol hat erstmals die ""bedrohlichsten"" Banden des Kontinents analysiert."," Europol, the European police agency, has for the first time analyzed the most dangerous gangs on the continent.",3
78,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Das schwere und organisierte Verbrechen ist allgegenwärtig und stellt weiterhin eine große Bedrohung der inneren Sicherheit der Europäischen Union dar"", heißt es in der 51 Seiten starken Studie."," The severe and organized crime is ubiquitous and poses a significant threat to the internal security of the European Union, as stated in the 51-page study.",4
79,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Die größte Bedrohung liegt Europol zufolge in der Infiltrierung der legalen Geschäftswelt - Ziele sind dabei die Erleichterung und Verdeckung der Verbrechen sowie das Waschen der Profite.," The greatest threat, according to Europol, lies in the infiltration of the legal business world - the goals are to facilitate and conceal crimes and to launder profits.",4
80,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Für ihre kriminellen Aktivitäten nutzen dem Bericht zufolge rund 86 Prozent der Banden ""legale Handelsstrukturen"".",Approximately 86 percent of the gangs in the report utilize legal business structures for their criminal activities.,3
81,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Kriminelle Banden bevorzugten Immobilien als Mittel zur Wäsche von Erträgen aus Straftaten, so Europol, und setzten dabei Anwälte oder Finanzexperten ein, ""die sich manchmal des kriminellen Ursprungs der Vermögenswerte nicht bewusst sind""."," Criminal gangs preferred properties as a means of generating profits from criminal activities, according to Europol. They often employed lawyers or financial experts who were sometimes unaware of the criminal origins of the properties they handled.",4
82,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Öl, Kupfer und Gold immer teurer: Was ist da los?",Copper and gold are always more expensive: What's going on?,3
83,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Tankstellen in Deutschland sind wichtige Preis-Indikatoren: Wer regelmäßig an die Zapfsäule muss, bekommt ein Gespür für den Ölpreis.",Fuel stations in Germany are important price indicators: Anyone who regularly fills up at the pump gets a feel for the fuel price.,3
84,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Insbesondere die Ereignisse im Nahen und Mittleren Osten haben dazu beigetragen, dass die Ölpreise gestiegen sind."," In particular, the events in the Near East and the Middle East have contributed to the rise in oil prices.",4.5
85,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Generell haben Rohstoffpreise, darunter auch Kupfer und Gold, in jüngster Zeit auf breiter Front zugelegt."," In recent times, general commodity prices, including copper and gold, have surged across the board.",4
86,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,So stieg der Preis für die Feinunze Gold zuletzt beispielsweise auf über 2300 US-Dollar - ein absoluter Höchststand.,The price of an ounce of gold has recently soared to over 2300 US dollars - a new all-time high.,4
87,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Laut Carsten Fritsch von der Commerzbank kann man aktuell gar von einer ""Rohstoff-Rallye"" sprechen."," According to Carsten Fritsch from the Commercial Bank, one can currently speak of a ""raw materials rally.""",3
88,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Die Gründe für den Preisanstieg - von Öl bis zum Gold - würden sich allesamt ähneln: ""Zumeist sind es Anzeichen für eine anziehende Nachfrage - gepaart mit Nachrichten eines eingeschränkten Angebots."""," The foundation for the price increase - from ice to gold - would all point towards: ""Mostly, it is an indication of a strong demand - accompanied by news of a restricted supply"".",4
89,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Der Preis für das wichtige Industriemetall Kupfer wird im Moment auch durch Spekulationen rund um eine Zinssenkung der US-Notenbank getrieben.,The price of the important industrial metal copper is currently also influenced by speculations surrounding a possible reduction in US interest rates.,4
90,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Das schwächt wiederum den US-Dollar - und das macht in Dollar gehandelte Rohstoffe wie eben Kupfer für Anleger in anderen Währungsräumen billiger, das erhöht die Nachfrage und somit den Preis."," The weakening of the US dollar makes dollar-denominated commodities like copper cheaper for investors in other currencies, thereby increasing demand and thus pushing up prices.",4
91,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Beim Gold - in der Regel der sichere Hafen für Anleger in Krisensituationen - hingegen rätseln Anleger wie Marktbeobachter allerdings über die Gründe des Preisanstiegs.," In times of crisis, gold is usually a safe harbor for investors. However, investors and market observers alike are puzzled over the cause of price increases.",4
92,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Mancher vermutet auch hier einen Zusammenhang mit der erhofften Zinssenkung.,Some people also suspect a connection with the expected interest rate reduction.,3
93,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Allerdings verweist das World Gold Council auch auf das derzeit große Interesse von verschiedenen Notenbanken.," Despite this, the World Gold Council also highlights the current strong interest from various banks.",3
94,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Diese hätten zuletzt ihre Käufe von Gold ""auf höchstem Niveau fortgesetzt"".",They had recently continued their gold purchases at the highest level.,4
95,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Im Falle des Erdöls kommt ein besonderer angebotseinschränkender Faktor hinzu: Die OPEC.," In the case of oil, an additional offer-reducing factor comes into play: OPEC.",4
96,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Die Organisation erdölexportierender Länder hat bereits vor einigen Monaten die Produktion eingeschränkt.,The organization of exporting countries has already reduced production several months ago.,3
97,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Mitte dieser Woche verkündete sie, keine Änderungen an dieser Förderpolitik vorzunehmen."," This week, she announced that she would make no changes to the company's policy.",4
98,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Auch das dürfte dazu beitragen, die globalen Märkte in den nächsten Monaten angespannt zu halten - und den Preis für Rohöl womöglich weiter in die Höhe zu treiben.",The situation could also contribute to keeping global markets under pressure in the coming months - and pushing oil prices even higher.,4
99,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Für Autofahrerinnen und Autofahrer sind diese Nachrichten rund um das 159-Liter Fass keine guten - zumindest nicht für diejenigen, die einen Verbrenner-PKW nutzen."," For car drivers and car drivers, these news regarding the 159-liter container are not good - at least not for those using a combustion engine vehicle.",3
100,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Die Ölpreisentwicklung hat nämlich direkt spürbare Auswirkungen an der Tankstelle.,The fuel price developments have a direct impact on the gas station.,4
101,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Da die Preise für Benzin und Diesel eng mit den Rohölpreisen korrelieren, führen steigende Ölpreise zu höheren Kraftstoffpreisen.",Rising oil prices lead to higher fuel prices due to the close correlation between gasoline and diesel prices and crude oil prices.,4
102,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Verbraucher müssen somit tiefer in die Tasche greifen, wenn sie ihr Verbrenner-Auto auftanken wollen.",Consumers have to dig deeper into their pockets if they want to order a burner-car.,3
103,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Darauf verweist auch eine aktuelle Auswertung des Automobilclubs ADAC zur Entwicklung der Kraftstoffpreise im März.,The current evaluation of the Automobile Club ADAC also refers to the development of fuel prices in March.,3
104,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Demnach ist der Liter Super E10 drei Wochen in Folge im Preis gestiegen und lag im Monatsmittel bei 1,787 Euro."," Subsequently, the liter Super E10 fuel has increased in price for three consecutive weeks and averaged 1.787 euros per month.",4
105,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Der Dieselpreis veränderte sich dagegen kaum.,The diesel price changed little.,3
106,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Dass Diesel von den Preissteigerungen weniger stark betroffen ist, dürfte dem ADAC zufolge am bevorstehenden Ende der Heizperiode liegen - dann sinkt nämlich die Nachfrage nach dem Diesel sehr ähnlichen Heizöl."," Diesel is less affected by price increases because, according to the ADAC, demand for it will likely decline at the end of the heating season - as heating oil becomes more affordable.",3
107,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Stephan Jäger ist der erste männliche deutsche Golfer seit neun Jahren, der einen Sieg auf der PGA-Tour erringen kann.",Stephan Jaeger is the first male German golfer in nine years to achieve a victory on the PGA Tour.,3
108,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Trotz wenig Erfolg auf höchster Ebene erfreut sich der Golfsport in Deutschland enormer Popularität.," Despite little success at the highest level, golf enjoys immense popularity in Germany.",3
109,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Ungläubig und mit Tränen in den Augen beobachtete Stephan Jäger den wohl größten Moment seiner Golfkarriere.,Stephan Jaeger watched with disbelief and tears in his eyes the greatest moment of his golf career.,3
110,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"134 Turniere hatte Jäger bereits auf der PGA-Tour, der höchsten Golf-Liga der Welt, gespielt."," He had already played in 134 tournaments on the PGA Tour, the highest golf league in the world.",4.5
111,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Sich in so einem Feld durchzusetzen, ist eine enorme Leistung.",To achieve success in such a field is an immense performance.,4
112,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"So ein Sieg löst immer einen kleinen Boom im deutschen Golf aus"", sagt Baraka."," Such a victory always triggers a little boom in German golf, says Baraka.",3
113,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,Trotz des Golf-Hypes in Deutschland blieben die großen Erfolge auf der PGA-Tour zuletzt aber aus.," Despite the golf hype in Germany, major successes have remained elusive on the PGA Tour lately.",4
114,google/gemma-1.1-7b-it,google/gemma-1.1-7b-it,"Im Jahr 2000 schrieb Tina Fischer Geschichte als erste deutsche Spielerin, die ein LPGA-Event für sich entscheiden konnte."," In 2000, Tina Fischer wrote a story as the first German player to decide to enter an LPGA event.",4.5
