sent_id,generator,evaluator,score,explanation,german_sentence,Translation,expert-v1-refined,layperson-v1-refined,nice-refined,rude-refined,expert-v2-refined,layperson-v2-refined,expert-v1,layperson-v1,nice,rude,original,expert-v2,layperson-v2
11,google/gemma-7b-it,google/gemma-1.1-7b-it,4,"The translation is accurate and conveys the meaning of the original German sentence. It uses appropriate language and syntax, and accurately translates the key elements of the sentence.","Wie die Feuerwehr mitteilte, konnten die 64 Arbeiter aus einem Steinbruch im Osten der Insel kurz in Sicherheit gebracht werden.",The firefighters reported that the 64 workers were able to be temporarily evacuated from a quarry in the eastern part of the island.,The firefighters reported that they were able to temporarily evacuate 64 workers from a quarry in the eastern part of the island.,The firefighters reported that they were able to temporarily evacuate 64 workers from a quarry in the eastern part of the island.,The firefighters reported that they were able to temporarily evacuate the 64 workers from the quarry in the eastern part of the island.,The firefighters reported that they were able to temporarily evacuate the 64 workers from the quarry in the eastern part of the island.,The firefighters reported that they had successfully evacuated the 64 workers from the quarry in the eastern part of the island.,The firefighters reported that they were able to temporarily evacuate 64 workers from a quarry in the eastern part of the island.,0.7624,0.7624,0.7628,0.7628,0.7589,0.7645,0.7624
12,google/gemma-7b-it,google/gemma-1.1-7b-it,4,"The translation is accurate and clearly conveys the meaning of the original German sentence. It uses appropriate language and syntax, and accurately translates the key concepts of the original sentence.","Zuvor hatten Rettungskräfte bereits sechs Arbeiter, die in einem anderen Steinbruch festsaßen, per Hubschrauber aus dem Gebiet gebracht."," Before, rescue crews had already brought six workers who were stuck in a different quarry by helicopter from the area.",The previous rescue teams had already airlifted six workers who were stranded in a different quarry to safety from the area.,"Before, rescue crews had already airlifted six workers who had been trapped in a different quarry to safety from the area.","Before, rescue crews had already airlifted six workers who were stranded in a different quarry to safety from the area.","Previously, rescue crews had already airlifted six workers who were trapped in a different quarry to safety from the area.",The rescue crews had already airlifted six workers who were stranded in a different quarry to safety from the area beforehand.,The rescue crews had already airlifted six workers who were stranded in a different quarry to safety from the area beforehand.,0.6721,0.7152,0.7087,0.7214,0.7403,0.6906,0.6906
13,google/gemma-7b-it,google/gemma-1.1-7b-it,3,"The translation is accurate, but awkward. A more natural translation would be ""The death toll from the earthquake has increased to ten by that time.""",Unterdessen stieg die Zahl der Todesopfer nach dem Erdbeben auf zehn.," During that time, the number of deaths increased to ten following the earthquake.",The death toll from the earthquake climbed to ten by that time.,The death toll from the earthquake climbed to ten by that time.,The death toll from the earthquake had risen to ten by that time.,The death toll from the earthquake had increased to ten by that time.,The death toll from the earthquake had climbed to ten by the time. ,The death toll from the earthquake climbed to ten by that time. ,0.7387,0.7387,0.7659,0.7508,0.6903,0.7268,0.7387
14,google/gemma-7b-it,google/gemma-1.1-7b-it,4,"The translation is accurate and conveys the essential meaning of the German sentence. It uses appropriate language and syntax, and accurately translates the key elements, including the age of the man, the location, and the discovery.","Ein 65 Jahre alter Mann sei auf einem Wanderpfad im Taroko-Nationalpark im Osten der Insel gefunden worden, teilten die Behörden mit."," An 65-year-old man was found on a hiking trail in Taroko Gorge National Park in the east of the island, authorities reported.","The body of a 65-year-old man was found on a hiking trail in Taroko Gorge National Park in the eastern part of the island, authorities reported.","The search and rescue team discovered a 65-year-old man on a hiking trail in Taroko Gorge National Park in the eastern part of the island, authorities reported.","An aging hiker, 65, was discovered on a trail in Taroko Gorge National Park in the island's eastern region, authorities confirmed.","A 65-year-old man was found on a hiking trail in Taroko Gorge National Park in the eastern part of the island, authorities reported.","The body of a 65-year-old man was found on a hiking trail in Taroko Gorge National Park in the eastern part of the island, authorities confirmed.","The body of a 65-year-old man was found on a hiking trail in Taroko Gorge National Park in the eastern part of the island, authorities reported.",0.8314,0.7761,0.7729,0.8422,0.8421,0.8036,0.8202
15,google/gemma-7b-it,google/gemma-1.1-7b-it,4,"The translation is accurate, capturing the meaning of the German sentence. It uses appropriate language and syntax.",Die Zahl der Verletzten nach den Erdstößen legte derweil leicht auf 1058 zu.," The number of injured people after the earthquakes had risen slightly to 1,058.","The number of injured people following the earthquakes had climbed slightly to 1,058.","The number of injured people following the earthquakes had briefly surged to 1,058.","The number of casualties after the earthquakes climbed slightly to 1,058.","The number of injured people following the earthquakes slightly increased to 1,058.","The number of casualties after the earthquakes climbed slightly to 1,058.","The number of casualties after the earthquakes had slightly risen to 1,058. ",0.7477,0.6628,0.771,0.7816,0.7983,0.7619,0.7587
16,google/gemma-7b-it,google/gemma-1.1-7b-it,4,"The translation is accurate as it conveys the meaning of the original German sentence. It is concise and conveys the ongoing nature of the clean-up activities. However, it lacks a bit of nuance as it does not capture the formality of the original sentence.",Die Aufräumarbeiten gehen derweil weiter.,The cleaning work continues in the meantime.,The meticulous cleaning work continues uninterruptedly in the meantime.,The cleaning process is ongoing despite the ongoing arrangements.,The ongoing cleaning efforts persist despite the ongoing work.,The meticulous cleaning work continues unabated.,The ongoing cleaning work persists despite the interruptions. ,The ongoing cleaning tasks continue unabated.,0.7613,0.4393,0.3799,0.7458,0.7832,0.5705,0.6932
17,google/gemma-7b-it,google/gemma-1.1-7b-it,4.5,The translation accurately conveys the meaning of the original German sentence. It uses appropriate vocabulary and grammar to express the idea of extensive measures taken to repair damaged infrastructure and support buildings in a precarious state.,"So liefen umfangreiche Maßnahmen an, um beschädigte Straßen zu reparieren und Gebäude in gefährlicher Schieflage zu stützen.",Extensive measures were taken to repair damaged roads and stabilize buildings in precarious positions.,The comprehensive measures undertaken to repair damaged infrastructure and stabilize precarious buildings were unprecedented in scale.,The extensive measures undertaken to repair damaged roads and stabilize precarious buildings effectively addressed the underlying infrastructure issues and restored stability.,The comprehensive measures undertaken repaired damaged roads and stabilized buildings precariously positioned.,The comprehensive measures undertaken to repair damaged roads and stabilize precarious buildings were a crucial step in restoring the city's infrastructure.,"Extensive measures were undertaken to repair damaged infrastructure and stabilize precarious buildings, encompassing a wide area.","The measures undertaken were far-reaching, encompassing the repair of damaged roads and the stabilization of buildings precariously positioned.",0.603,0.5032,0.6767,0.4842,0.7399,0.6135,0.7063
18,google/gemma-7b-it,google/gemma-1.1-7b-it,4,"The translation is accurate, capturing the essence of the German sentence. It faithfully conveys the information about the number of people cut off and the aftermath of the earthquake.",Nach dem Beben sind nach amtlichen Angaben noch mehr als 640 Menschen von der Außenwelt abgeschnitten.," After the flooding, official figures indicate that over 640 people from the affected area have been cut off.","Following the flooding, official figures indicate that over 640 people in the affected area have been isolated from the outside world.","Following the flooding, official figures indicate that over 640 people in the affected area have been isolated from the outside world.","The aftermath of the flood has left over 640 people isolated from the outside world, according to official figures.","Following the flooding, official figures indicate that over 640 people in the affected area have been isolated from the outside world.","Following the flood, official figures indicate that over 640 people in the affected area have been cut off from the outside world.","**After the flooding, official figures indicate that over 640 people in the affected area have been isolated from the outside world due to the aftermath.**",0.7015,0.7015,0.6364,0.7015,0.691,0.6755,0.6354
19,google/gemma-7b-it,google/gemma-1.1-7b-it,4," The translation is accurate, conveying the essential meaning of the German sentence. It uses appropriate language and syntax in English.",Allein in einer Wanderunterkunft im Kreis Hualien halten sich demnach 615 Menschen auf.,There are 615 people staying in a hiker's hostel in the Hualien district.,There are 615 people staying in a hiker's lodge in the Hualien area.,The solitary inhabitants of a hiker's hostel in the Hualien district amount to 615 people.,The accommodation caters to 615 people in Hualien County's hiker's hostel.,"The accommodation caters primarily to hikers, with 615 people currently staying in the hiker's hostel in Hualien district.",There are approximately 615 people staying in a hiker's hostel in the Hualien district.,There are approximately 615 people staying in a hiker's hostel in the Hualien District.,0.7081,0.5602,0.473,0.729,0.7528,0.7577,0.7552
20,google/gemma-7b-it,google/gemma-1.1-7b-it,3,"The translation is accurate in conveying the basic meaning of the sentence, but it lacks nuance and precision in capturing the exact meaning of the original sentence.",24 Touristen säßen noch in einer Höhle fest.,24 tourists were still stuck in a cave.,"24 tourists remained trapped in a cave, their fate uncertain. The precarious situation was reminiscent of the tourists' desperate pleas for help echoing through the cavernous depths.","The 24 tourists were trapped in a cave, their fate precarious. ","24 tourists remained huddled in a cave, refusing to budge.",24 tourists remained trapped in the cavern. The cavern's tight confines held them fast.,The 24 tourists were hopelessly trapped in a cave. ,The 24 tourists were still huddled deep within the cave. ,0.3551,0.6854,0.6615,0.7728,0.8442,0.7846,0.6955
21,google/gemma-7b-it,google/gemma-1.1-7b-it,3,"The translation is accurate, but it could be improved by using more precise language. ""Fehlte noch jeder Kontakt"" could be translated as ""there was no contact at all"" or ""not a single contact."" This would make the sentence more concise and accurate.",Zu weiteren etwa 30 vermissten Menschen fehlte noch jeder Kontakt.,There were still contacts missing for approximately 30 people who had gone missing.,The missing persons had no contact at all with approximately 30 others who had gone missing.,There were no contacts at all for approximately 30 people who had gone missing.,The remaining 30 people who had gone missing had no contact at all.,The whereabouts of approximately 30 missing persons remained entirely unknown.,The whereabouts of approximately 30 people who had gone missing remained entirely unknown.,"The search revealed that out of approximately 30 people who had gone missing, there was no contact from any of them.",0.3886,0.6644,0.6252,0.7741,0.6519,0.7595,0.5749
22,google/gemma-7b-it,google/gemma-1.1-7b-it,5,The translation is accurate and conveys the meaning of the German sentence in a clear and concise manner.,Die Suche nach eingeschlossenen und vermissten Menschen konzentriert sich auf die Gegend um die Stadt Hualien.,The search for enclosed and missing persons focuses on the area surrounding the city of Hualien.,The search for those who are enclosed or missing is concentrated in the vicinity of Hualien City.,The search for people who are enclosed or missing is concentrated in the area surrounding the city of Hualien.,The search for those confined and missing centers on the vicinity of the city of Hualien.,The search for enclosed and missing persons centers on the vicinity of the city of Hualien.,The search for those missing or trapped focuses on the area surrounding the city of Hualien.,The search for those confined and missing has been narrowed down to the vicinity of Hualien city.,0.6938,0.7272,0.6555,0.6766,0.7127,0.7118,0.6985
23,google/gemma-7b-it,google/gemma-1.1-7b-it,4,The translation is accurate and conveys the meaning of the original sentence.,"Nach einem Besuch in einem dortigen Notfallzentrum sagte Regierungschef Chen Chien-jen, er hoffe, dass ""wir den heutigen Tag nutzen können, um alle gestrandeten und vermissten Menschen zu finden""."," After a visit to a local emergency center, government chief Chen Chien-jen said, ""We can use today to find all the stranded and missing people.""","Following a visit to the local emergency center, government chief Chen Chien-jen expressed hope that the current day could be used to locate and rescue all those who have gone missing or are stranded.",The visit to the local emergency center prompted government chief Chen Chien-jen to express hope that the day could be used to locate any stranded or missing individuals.,"""Following a visit to the local emergency center, government chief Chen Chien-jen remarked, 'We can use this opportunity to locate all the stranded and missing people.'""","After a visit to the local emergency center, government chief Chen Chien-jen remarked, ""We can leverage today to locate and rescue any stranded or missing individuals.""","After a visit to the local emergency center, government chief Chen Chien-jen remarked, ""We can leverage today's opportunity to locate and rescue all those who are stranded or missing.""",The visit to the local emergency center prompted government chief Chen Chien-jen to express hope that the day could be utilized to locate all those stranded or missing.,0.7483,0.7451,0.6751,0.6859,0.7146,0.7325,0.7276
24,google/gemma-7b-it,google/gemma-1.1-7b-it,4,"The translation is accurate and effectively conveys the meaning of the original German sentence. It accurately captures the idea that politicians and health experts are calling for Germany to critically reassess its situation during the Corona pandemic. However, minor improvements can be made to enhance the fluency and accuracy of the translation.

**Potential improvements:**

- Use a more specific verb instead of ""work."" For example, ""review,"" ""evaluate,"" or ""adapt.""
- Consider using a different preposition to replace ""wÃ¤hrend."" For example, ""during,"" ""through,"" or ""in the course of.""
- Add more context or details to provide more information about the specific aspects that should be critically reworked.","Immer mehr Politiker und Gesundheitsexperten fordern, dass Deutschland die Zeit während der Corona-Pandemie kritisch aufarbeiten soll.",More and more politicians and healthcare experts are calling for Germany to critically reassess its handling of the Corona pandemic.,More and more politicians and healthcare experts are calling for Germany to critically review and adapt its handling of the Corona pandemic. The focus should be on reassessing measures taken across all sectors to ensure effectiveness and address any shortcomings.,More and more politicians and healthcare experts are calling for Germany to critically review and adapt its response to the Corona pandemic.,"More and more politicians and healthcare experts are calling for Germany to critically review and evaluate its handling of the Corona pandemic, emphasizing the need for adjustments to its policies and strategies in light of the ongoing crisis.","More and more politicians and healthcare experts are calling for Germany to critically review and adapt its handling of the Corona pandemic, emphasizing the need for targeted measures and adjustments to address the ongoing challenges and lessons learned during the course of the pandemic.","More and more politicians and healthcare experts are calling for Germany to critically review and adapt its handling of the Corona pandemic. The focus should be on areas such as healthcare systems, economic measures, and social policies to address the ongoing challenges and ensure a more effective response.",More and more politicians and healthcare experts are calling for Germany to critically review and adapt its response to the Corona pandemic. Emphasis should be placed on areas where improvements can be made in terms of handling and mitigating its effects.,0.4337,0.7682,0.5451,0.5805,0.8043,0.3685,0.5549
25,google/gemma-7b-it,google/gemma-1.1-7b-it,4,The translation is accurate and conveys the meaning of the German sentence.,"Sie war eine der größten Herausforderungen für die Politik nach dem Zweiten Weltkrieg, nicht nur in Deutschland: Weltweit hatte die Corona-Pandemie  ab Anfang 2020 zur Folge, dass Grundrechte außer Kraft gesetzt und Lockdowns verhängt wurden."," She was one of the greatest challenges for politics after World War II, not only in Germany. Worldwide, the Corona pandemic since early 2020 led to the suspension of fundamental rights and lockdowns.","The Corona pandemic since early 2020 posed a formidable challenge for politics worldwide, triggering the suspension of fundamental rights and lockdowns across the globe. This unprecedented crisis stands as one of the greatest challenges for political systems since the aftermath of World War II.","The Corona pandemic of early 2020 posed a unprecedented challenge for political systems worldwide, leading to the suspension of fundamental rights and lockdowns across the globe. This burden proved particularly significant for Germany after World War II.","The post-war period witnessed one of the greatest challenges for politics, not just in Germany. The Covid-19 pandemic, which emerged in early 2020, triggered a suspension of fundamental rights and lockdowns across the globe.","The pandemic of COVID-19, which emerged in early 2020, posed one of the greatest challenges for politics in the aftermath of World War II, not just in Germany. Across the globe, it led to the suspension of fundamental rights and the implementation of lockdowns.","The pandemic brought unprecedented challenges for post-World War II politics, extending far beyond Germany's borders. Across the globe, the Corona pandemic since early 2020 triggered the suspension of fundamental rights and the implementation of lockdowns.","The post-World War II era witnessed one of the greatest challenges for politics: the COVID-19 pandemic, which emerged in early 2020. It led to the unprecedented suspension of fundamental rights and implementation of lockdowns across the globe.",0.6617,0.6888,0.627,0.6648,0.6546,0.6938,0.5314
26,google/gemma-7b-it,google/gemma-1.1-7b-it,4,"The translation is accurate, capturing the essential meaning of the German sentence. It correctly conveys that schools, kindergartens and businesses had to temporarily close due to some unforeseen circumstance. The use of ""had to"" accurately reflects the temporary nature of the closure. 

However, the translation could be improved by preserving the literal meaning of ""schlieÃ yüsen"" which is ""closing down"" rather than ""closing"". This would provide a more precise and literal translation of the German sentence.","Schulen, Kindergärten und viele Unternehmen mussten vorübergehend schließen."," Schools, childcare centers and many companies had to temporarily close."," Schools, childcare centers and many companies had to temporarily close."," Schools, childcare centers and many companies had to temporarily close.","The schools, childcare centers and many businesses had to temporarily shut down due to the unforeseen circumstances.","Schulen, Kindergärten und viele Unternehmen wurden vorübergehend geschlossen.","Schools, childcare centers and many businesses had to temporarily shut down. ","Schools, childcare centers and many businesses had to temporarily shut down.",0.816,0.816,0.7543,0.4958,0.8298,0.8162,0.8162
27,google/gemma-7b-it,google/gemma-1.1-7b-it,4," The translation is accurate in conveying the main idea of the German sentence, which is that after the first vaccinations became widely available, there was a great pressure in society to get vaccinated. However, it could be improved by preserving the literal meaning of ""groÃer Druck"" which is ""great pressure"" rather than ""pressure"" which is a more general term.","Und nachdem die ersten  Impfstoffe bis Mitte des Jahres 2021 in großen Mengen verfügbar waren, entstand ein großer Druck, auch in der Gesellschaft, sich auch tatsächlich impfen zu lassen."," And after the first vaccinations had become available in large quantities by mid-2021, there was a growing pressure, also in society, to get vaccinated as well.","And after the first vaccinations became widely available by mid-2021, a great pressure emerged in society to get vaccinated as well. The widespread availability of these vaccines triggered a sense of responsibility to protect oneself and others.","And after the first vaccinations had become available in large quantities by mid-2021, there was a great pressure, not just in society, but also among individuals to get vaccinated as well.","And once the first vaccinations became widely available in mid-2021, a great pressure arose, not only in society, but also among the population, to get vaccinated as well.","And after the first vaccinations had become available in large quantities by mid-2021, there was a great pressure, not only in society, but also among individuals, to get vaccinated as well.","And once the first vaccinations became widely available by mid-2021, a great pressure emerged in society to get vaccinated as well. This pressure was palpable, urging people to get vaccinated.","And after the first vaccinations became widely available by mid-2021, a palpable sense of great pressure emerged in society, urging people to get vaccinated as well.",0.6595,0.7681,0.7532,0.7599,0.76,0.6164,0.7122
28,google/gemma-7b-it,google/gemma-1.1-7b-it,4,The translation is accurate and conveys the meaning of the German sentence.,"Jetzt, mehr als vier Jahre später, ist in Deutschland eine Debatte darüber entstanden, ob und in welcher Form das Land diese intensive Zeit und die politischen Entscheidungen aufarbeiten soll."," Four years later, a debate has emerged in Germany regarding how the country should process the intense period and political decisions of the past.",The intense period and politically charged decisions of the past four years have sparked a debate in Germany about how the country should address and reconcile with them.,The intense period and political decisions of the past four years have sparked a debate in Germany about how the country should process them.,The intense period and political decisions of the past four years have sparked a debate in Germany about how to address their impact.,The intense period and political decisions of the past four years have sparked a debate in Germany regarding how the country should address and reconcile these developments.,The intense period and political decisions of the past four years have sparked a debate in Germany about how the country should address and process them.,The intense period and politically charged decisions of the past four years have sparked a debate in Germany about how the country should address and process them.,0.7342,0.7398,0.7392,0.7431,0.7576,0.7372,0.7359
29,google/gemma-7b-it,google/gemma-1.1-7b-it,4," The translation accurately conveys the meaning of the German sentence, which is that many small businesses, such as restaurants, have not survived the closures.","Viele vor allem kleine Betriebe, Restaurants etwa, haben die Zeit der Schließungen nicht überlebt."," Many small businesses, such as restaurants, have not survived the closure period.","Many small and medium-sized enterprises (SMEs), including restaurants, have succumbed to the impact of closures. This period has proven particularly devastating for such establishments.","Many small and medium-sized enterprises (SMEs), including restaurants, have succumbed to the impact of closures.","Many small and medium-sized enterprises (SMEs), including restaurants, have struggled to survive the closure period.","Many small and medium-sized enterprises (SMEs), including restaurants, have unfortunately succumbed to the impact of pandemic-related closures. ","The pandemic dealt a devastating blow to many small businesses, particularly restaurants, which were unable to withstand the closure period.","Many small businesses, including restaurants, have succumbed to the closures. ",0.5318,0.4709,0.7745,0.4797,0.7861,0.7031,0.4755
30,google/gemma-7b-it,google/gemma-1.1-7b-it,4,The translation is accurate and captures the meaning of the original German sentence. It accurately conveys the idea that politicians have admitted to being too strict with children and youth.,"Und fast einhellig gestehen damalige und heutige Politiker ein, vor allem mit Kindern und Jugendlichen viel zu streng umgegangen zu sein.",Many contemporary and past politicians admit that they have been too strict with children and teenagers.,"Many past and current politicians have admitted that they have often been overly strict with children and teenagers, expressing regret for their previous actions.",The overwhelming majority of both past and present politicians have admitted that they have been too strict with children and adolescents.,Many contemporary and past politicians readily acknowledge that they have been overly strict with children and adolescents.,Many contemporary and past politicians have conceded that they were overly strict with children and teenagers in the past. A prevalent sentiment among these politicians is that their disciplinary measures were too severe.,The overwhelming majority of past and present politicians have admitted that they have been excessively strict with children and adolescents.,Many contemporary and past politicians have acknowledged that they have been too harsh in their dealings with children and adolescents.,0.6789,0.7491,0.7526,0.6,0.7471,0.7453,0.7538
31,google/gemma-7b-it,google/gemma-1.1-7b-it,4,The translation is accurate and conveys the meaning of the German sentence.,"Jetzt, mehr als vier Jahre später, ist in Deutschland eine Debatte darüber entstanden, ob und in welcher Form das Land diese intensive Zeit und die politischen Entscheidungen aufarbeiten soll."," Four years later, a debate has emerged in Germany regarding how the country should process the intense period and political decisions of the past.",The intense period and politically charged decisions of the past four years have sparked a debate in Germany about how the country should address and reconcile with them.,The intense period and political decisions of the past four years have sparked a debate in Germany about how the country should process them.,The intense period and political decisions of the past four years have sparked a debate in Germany about how to address their impact.,The intense period and political decisions of the past four years have sparked a debate in Germany regarding how the country should address and reconcile these developments.,The intense period and political decisions of the past four years have sparked a debate in Germany about how the country should address and process them.,The intense period and politically charged decisions of the past four years have sparked a debate in Germany about how the country should address and process them.,0.7342,0.7398,0.7392,0.7431,0.7576,0.7372,0.7359
